epoch,train_loss,val_loss,train_acc,val_acc
1,0.13695984637715589,1.3955746755386287,0.5777554985943443,0.3579317995466165
2,0.09060513247152548,1.152092852983285,0.702207706300645,0.5195581922538948
3,0.06458257937075994,0.8956383796666971,0.7944435257152307,0.6512805672116915
4,0.04873914406016501,0.5281683748040573,0.8562613692740202,0.8160902908406887
5,0.03944505816250078,0.5427170287523402,0.8910203406647924,0.8282930593739449
6,0.031795579624043946,0.5903460700823144,0.9169629568381016,0.812714030772199
7,0.027650021299983483,0.39565539927761006,0.9306474284769307,0.876862972073506
8,0.024709277495690095,0.3340277206613555,0.9398151976186538,0.9088892104374668
9,0.022072029076251724,0.30398116848461937,0.9472155614354225,0.9126030965128057
10,0.020032141795522058,0.3583611952674485,0.9543265255498594,0.9026672454541069
11,0.019550689968922886,0.26046657369100645,0.9554841243591864,0.930979597742729
12,0.017018312064378503,0.2419223930326096,0.9618819249214486,0.9317030820431197
13,0.01721965519510233,0.2914707290816053,0.9623470315859104,0.9208025852505667
14,0.015227152865083726,0.214889672506806,0.9670807838597651,0.9426035788356726
15,0.014671596951199914,0.15313640862641514,0.9680213328923433,0.9600154343317416
16,0.013519441207298833,0.18006414597854828,0.970377873325616,0.9530699850479911
17,0.015038417774536442,0.19412568521574092,0.9681143542252356,0.9486808469589543
18,0.012816081012977891,0.20627169071066967,0.9719695716884406,0.9440987797231467
19,0.011514818293449232,0.14018316399483044,0.9754010253018025,0.9633916944002315
20,0.013038864340161872,0.3247125437183576,0.9722279642798082,0.9139536005402016
